"Code","Last","Change","Change(%)","GridFluctRatio","Freq","Volume","Value","Frg Buy","Frg Sell","Net Buy"
"GOTO","118","Rise","3","2.60","14,762","13,879,245","161,799,168","7,510,400","6,083,356","1,427,044"
"BUKA","268","Rise","34","14.52","7,815","3,398,818","87,166,655","1,505,349","361,783","1,143,566"
"PBRX","56","Rise","4","7.69","6,970","2,872,766","15,924,452","489,993","160,207","329,786"
"BBCA","8,675","Fall","25","0.28","14,040","868,673","757,309,182","677,429","355,128","322,301"
"BRMS","168","Rise","2","1.20","2,842","1,247,581","20,851,904","358,786","66,326","292,460"
"SAGE-W","21","Fall","9","30.00","90,530","64,790,914","180,322,236","790,900","507,150","283,750"
"NATO","500","Rise","2","0.40","2,937","2,135,133","106,637,286","249,543","6,204","243,339"
"ANTM","1,995","Rise","35","1.78","12,082","672,240","133,959,080","288,999","58,100","230,899"
"NSSS","146","Rise","2","1.38","4,519","967,675","14,076,463","242,062","63,571","178,491"
"WIFI","149","Rise","8","5.67","23,101","2,912,150","42,166,681","181,182","30,809","150,373"
"WIRG","147","Rise","9","6.52","4,643","909,115","13,029,568","165,231","23,059","142,172"
"ERAA","515","Fall","5","0.96","2,726","460,246","23,788,259","179,927","60,746","119,181"
"IATA","76","Rise","4","5.55","1,292","394,851","2,930,138","128,959","20,827","108,132"
"BBRI","4,770","Rise","30","0.63","14,546","885,755","421,921,991","609,681","502,511","107,170"
"AKRA","1,540","Unchnaged","0","0.00","4,325","392,202","60,481,956","222,987","122,312","100,675"
"DGIK","119","Rise","4","3.47","1,340","551,538","6,365,317","112,220","13,214","99,006"
"TLKM","4,050","Unchnaged","0","0.00","6,049","724,907","293,897,954","603,866","515,793","88,073"
"MAPI","1,600","Rise","100","6.66","5,872","256,443","40,620,129","215,302","130,997","84,305"
"KLBF","2,150","Rise","50","2.38","3,957","279,749","60,340,968","228,352","155,537","72,815"
"ELPI","242","Unchnaged","0","0.00","1,278","187,299","4,509,657","72,360","255","72,105"
"BBKP","108","Rise","1","0.93","1,203","252,353","2,730,511","82,234","15,274","66,960"
"PNLF","358","Rise","2","0.56","1,643","211,117","7,535,036","64,927","1,821","63,106"
"PGAS","1,385","Rise","10","0.72","5,954","450,176","62,650,197","112,009","49,806","62,203"
"ARNA","1,000","Rise","25","2.56","1,201","221,573","22,148,956","206,996","149,624","57,372"
"NSSS-W","16","Rise","1","6.66","718","651,966","1,038,517","50,000","0","50,000"
"BCAP","60","Fall","1","1.63","5,495","393,585","2,380,072","240,229","197,318","42,911"
"PDPP","238","Rise","8","3.47","2,656","322,458","7,681,767","56,101","13,632","42,469"
"INDY","2,250","Rise","180","8.69","5,048","248,913","55,492,982","59,036","17,912","41,124"
"CARS","86","Rise","2","2.38","351","233,451","1,970,613","48,313","7,907","40,406"
"CARE","490","Rise","6","1.23","1,777","430,604","20,934,603","52,840","12,913","39,927"
"WINE","336","Fall","2","0.59","957","70,412","2,399,753","38,447","400","38,047"
"BELL","125","Rise","9","7.75","2,241","259,051","3,118,375","43,932","6,191","37,741"
"SAGE","254","Upper limit","50","24.50","26,464","4,024,234","96,709,983","41,351","4,545","36,806"
"SLIS","180","Rise","6","3.44","3,074","255,503","4,546,020","53,936","19,895","34,041"
"OMED","202","Rise","2","1.00","613","473,677","9,498,335","43,812","10,449","33,363"
"VTNY","505","Rise","67","15.29","1,523","227,861","10,698,457","50,875","18,265","32,610"
"ESSA","940","Fall","25","2.59","7,806","283,029","26,471,929","74,719","42,416","32,303"
"MDKA","4,020","Rise","80","2.03","6,978","361,608","144,885,765","148,876","117,767","31,109"
"BSDE","980","Rise","20","2.08","1,836","101,628","9,896,086","46,829","17,236","29,593"
