"NO","Code","Prev","Open","High","Low","Last","Change","Change(%)","Change(%)","Freq","Volume","Value(T)"
"1","SAGE-W","30","30","38","20","21","Fall","9","30.00","90,530","64,790,914","180,322,236"
"2","PTMP","165","165","185","162","179","Rise","14","8.48","35,678","2,747,032","48,518,926"
"3","LAJU","388","388","394","362","362","Lower limit","26","6.70","32,556","488,829","18,239,017"
"4","PLAN-W","3","2","5","2","3","Unchnaged","0","0.00","31,389","298,060","111,439"
"5","SAGE","204","218","254","208","254","Upper limit","50","24.50","26,464","4,024,234","96,709,983"
"6","KRYA","100","100","124","97","103","Rise","3","3.00","25,780","3,357,561","37,206,155"
"7","TRIN","222","222","266","214","252","Rise","30","13.51","24,108","797,548","20,080,911"
"8","WIFI","141","141","149","141","149","Rise","8","5.67","23,101","2,912,150","42,166,681"
"9","DOID","304","306","312","302","308","Rise","4","1.31","21,907","301,675","9,294,708"
"10","PADA","111","111","114","107","110","Fall","1","0.90","21,053","803,809","8,933,657"
"11","CBRE","61","63","70","58","60","Fall","1","1.63","19,808","4,440,228","28,591,849"
"12","CHEM","107","100","143","100","139","Rise","32","29.90","19,798","1,970,498","26,191,507"
"13","INDO","89","92","101","89","90","Rise","1","1.12","19,539","355,043","3,375,167"
"14","KDTN-W","23","23","24","22","23","Unchnaged","0","0.00","18,095","26,761","61,706"
"15","CUAN","710","720","780","715","755","Rise","45","6.33","17,499","1,043,819","78,203,584"
"16","POLA","53","58","58","50","53","Unchnaged","0","0.00","15,833","33,110","175,470"
"17","GOTO","115","116","118","115","118","Rise","3","2.60","14,762","13,879,245","161,799,168"
"18","BBRI","4,740","4,740","4,780","4,740","4,770","Rise","30","0.63","14,546","885,755","421,921,991"
"19","GIAA","80","78","82","78","80","Unchnaged","0","0.00","14,458","329,017","2,637,010"
"20","BBCA","8,700","8,800","8,800","8,675","8,675","Fall","25","0.28","14,040","868,673","757,309,182"
"21","DEWI","358","358","358","334","336","Fall","22","6.14","13,350","1,090,056","37,219,559"
"22","DKFT","111","112","119","111","115","Rise","4","3.60","13,060","276,480","3,212,762"
"23","UFOE","240","224","228","224","224","Lower limit","16","6.66","12,368","73,424","1,645,238"
"24","OPMS","52","52","54","51","52","Unchnaged","0","0.00","12,335","48,028","252,891"
"25","ANTM","1,960","1,970","2,010","1,970","1,995","Rise","35","1.78","12,082","672,240","133,959,080"
"26","BUMI","129","130","138","129","137","Rise","8","6.20","11,868","8,471,945","113,430,424"
"27","ADRO","2,680","2,700","2,800","2,700","2,770","Rise","90","3.35","11,608","905,900","249,611,122"
"28","BBNI","9,500","9,200","9,200","9,000","9,025","Fall","475","5.00","11,546","364,367","329,857,727"
"29","BMRI","10,200","10,200","10,275","10,100","10,125","Fall","75","0.73","11,429","431,842","438,707,882"
"30","HALO","193","193","218","186","202","Rise","9","4.66","11,037","932,416","19,103,673"
"31","BIKE-W","11","10","11","9","11","Unchnaged","0","0.00","10,833","29,168","29,163"
"32","MYTX","79","78","85","75","75","Fall","4","5.06","9,688","179,096","1,472,666"
"33","COAL","126","118","137","118","130","Rise","4","3.17","9,416","1,101,143","14,359,338"
"34","RAFI","71","71","73","69","70","Fall","1","1.40","8,905","488,648","3,479,562"
"35","UNTR","27,800","27,825","28,650","27,700","28,575","Rise","775","2.78","8,782","87,800","248,647,215"
"36","BPTR","158","158","164","152","159","Rise","1","0.63","8,514","568,649","9,062,089"
"37","ADMR","1,155","1,155","1,235","1,155","1,225","Rise","70","6.06","8,433","731,990","88,504,120"
"38","SWID-W","6","5","7","5","6","Unchnaged","0","0.00","8,280","206,563","126,421"
"39","PSAB","96","97","103","94","98","Rise","2","2.08","8,195","308,586","3,057,282"
"40","ESTI","50","50","51","50","50","Unchnaged","0","0.00","7,921","12,889","64,446"
"41","VAST","118","117","119","113","113","Fall","5","4.23","7,885","1,450,778","16,786,127"
"42","BUKA","234","236","268","234","268","Rise","34","14.52","7,815","3,398,818","87,166,655"
"43","ESSA","965","930","950","925","940","Fall","25","2.59","7,806","283,029","26,471,929"
"44","NICL","380","380","380","354","358","Fall","22","5.78","7,802","803,269","28,995,215"
"45","ASII","5,875","5,900","5,925","5,850","5,850","Fall","25","0.42","7,618","360,991","211,946,472"
"46","MDKA","3,940","3,940","4,030","3,940","4,020","Rise","80","2.03","6,978","361,608","144,885,765"
"47","PBRX","52","52","58","51","56","Rise","4","7.69","6,970","2,872,766","15,924,452"
"48","KPIG","64","64","66","63","65","Rise","1","1.56","6,967","235,505","1,535,411"
"49","ARTO","2,280","2,300","2,330","2,160","2,230","Fall","50","2.19","6,643","402,968","89,308,671"
"50","IRSX","138","129","131","129","129","Lower limit","9","6.52","6,514","1,189,940","15,354,543"
"51","WIRG-W","28","28","31","27","29","Rise","1","3.57","6,442","128,304","374,891"
"52","TRON","276","266","282","266","280","Rise","4","1.44","6,301","1,250,382","34,372,297"
"53","PGEO","740","700","740","690","695","Fall","45","6.08","6,097","275,065","19,251,600"
"54","WSBP","73","73","77","69","71","Fall","2","2.73","6,071","2,339,176","17,008,654"
"55","TLKM","4,050","4,100","4,100","4,030","4,050","Unchnaged","0","0.00","6,049","724,907","293,897,954"
"56","FUTR","128","130","133","125","129","Rise","1","0.78","6,027","840,371","10,808,379"
"57","PGAS","1,375","1,395","1,415","1,375","1,385","Rise","10","0.72","5,954","450,176","62,650,197"
"58","BSML","226","226","232","220","230","Rise","4","1.76","5,918","312,930","7,196,324"
"59","HRTA","362","362","366","338","356","Fall","6","1.65","5,917","508,611","17,729,741"
"60","MAPI","1,500","1,520","1,620","1,500","1,600","Rise","100","6.66","5,872","256,443","40,620,129"
"61","ELIT","204","208","214","200","204","Unchnaged","0","0.00","5,725","562,051","11,616,174"
"62","ZATA","78","79","80","73","73","Lower limit","5","6.41","5,654","888,974","6,748,265"
"63","FILM","730","740","910","730","910","Upper limit","180","24.65","5,528","628,107","50,937,845"
"64","BCAP","61","60","62","59","60","Fall","1","1.63","5,495","393,585","2,380,072"
"65","EMTK","740","745","810","745","800","Rise","60","8.10","5,394","499,450","38,771,743"
"66","MEDC","915","940","960","930","935","Rise","20","2.18","5,375","747,785","70,499,231"
"67","ACES","468","472","474","462","466","Fall","2","0.42","5,339","523,125","24,475,183"
"68","ITMG","38,500","38,700","39,750","38,600","39,725","Rise","1,225","3.18","5,338","40,374","158,789,110"
"69","MPPA","100","101","102","94","97","Fall","3","3.00","5,326","996,584","9,738,279"
"70","PSDN","52","53","56","53","54","Rise","2","3.84","5,238","18,703","102,282"
"71","SMKL","318","318","348","310","334","Rise","16","5.03","5,221","444,135","14,596,009"
"72","SMKM","860","855","865","855","865","Rise","5","0.58","5,136","356,929","30,639,685"
"73","PTBA","3,700","3,740","3,840","3,710","3,810","Rise","110","2.97","5,126","199,940","75,505,719"
"74","MARK","635","630","660","630","650","Rise","15","2.36","5,064","176,726","11,459,788"
"75","INDY","2,070","2,110","2,280","2,110","2,250","Rise","180","8.69","5,048","248,913","55,492,982"
"76","MEDS","140","140","143","131","131","Lower limit","9","6.42","5,017","276,400","3,719,726"
"77","JAWA","89","91","108","88","90","Rise","1","1.12","4,967","399,407","3,946,534"
"78","AMRT","2,900","2,920","2,990","2,900","2,980","Rise","80","2.75","4,921","181,614","53,846,232"
"79","BBTN","1,265","1,270","1,280","1,255","1,260","Fall","5","0.39","4,850","392,455","49,644,569"
"80","INTP","9,950","10,125","10,750","10,100","10,725","Rise","775","7.78","4,818","58,322","61,156,692"
"81","MDLN","69","69","70","68","68","Fall","1","1.44","4,765","79,705","544,594"
"82","WIRG","138","138","149","138","147","Rise","9","6.52","4,643","909,115","13,029,568"
"83","PLAN","24","24","25","23","24","Unchnaged","0","0.00","4,607","44,440","106,884"
"84","ASHA","97","97","99","95","98","Rise","1","1.03","4,585","217,218","2,121,936"
"85","BRIS","1,610","1,615","1,640","1,610","1,630","Rise","20","1.24","4,576","281,302","45,671,698"
"86","NSSS","144","144","148","143","146","Rise","2","1.38","4,519","967,675","14,076,463"
"87","TAYS","171","170","174","163","169","Fall","2","1.16","4,473","729,336","12,230,156"
"88","MKTR","226","232","242","218","234","Rise","8","3.53","4,403","549,597","12,766,474"
"89","AKRA","1,540","1,540","1,575","1,525","1,540","Unchnaged","0","0.00","4,325","392,202","60,481,956"
"90","WINR-W","3","3","4","2","4","Rise","1","33.33","4,239","179,263","53,858"
"91","META","113","113","118","111","112","Fall","1","0.88","4,064","185,517","2,120,593"
"92","BDKR-W","10","10","10","8","8","Fall","2","20.00","3,999","163,621","147,188"
"93","KLBF","2,100","2,130","2,190","2,120","2,150","Rise","50","2.38","3,957","279,749","60,340,968"
"94","HILL","2,130","2,130","2,170","2,090","2,140","Rise","10","0.46","3,817","213,592","45,472,620"
"95","ICBP","9,975","10,000","10,200","9,975","10,100","Rise","125","1.25","3,706","47,091","47,670,267"
"96","HMSP","1,180","1,180","1,200","1,170","1,200","Rise","20","1.69","3,703","502,039","59,842,801"
"97","MARI","87","88","93","82","87","Unchnaged","0","0.00","3,701","714,887","6,281,768"
"98","TCPI","8,675","8,700","8,750","8,575","8,725","Rise","50","0.57","3,648","133,116","115,553,542"
"99","MLPL","95","96","96","91","92","Fall","3","3.15","3,645","488,057","4,549,494"
"100","BRPT","800","805","815","795","800","Unchnaged","0","0.00","3,568","554,902","44,646,758"
"101","UNVR","4,290","4,290","4,320","4,280","4,300","Rise","10","0.23","3,494","48,102","20,679,209"
"102","AYLS","61","57","79","57","68","Rise","7","11.47","3,483","362,645","2,550,196"
"103","HRUM","1,405","1,410","1,470","1,410","1,460","Rise","55","3.91","3,386","141,246","20,451,062"
"104","MNCN","590","590","590","575","580","Fall","10","1.69","3,348","228,952","13,256,306"
"105","JPFA","1,160","1,160","1,175","1,150","1,170","Rise","10","0.86","3,303","78,725","9,191,604"
"106","ENRG","238","238","242","232","234","Fall","4","1.68","3,272","942,556","22,347,832"
"107","WMUU","52","53","53","51","52","Unchnaged","0","0.00","3,249","273,088","1,421,607"
"108","SLIS","174","175","180","174","180","Rise","6","3.44","3,074","255,503","4,546,020"
"109","SMGR","6,250","6,325","6,475","6,300","6,375","Rise","125","2.00","3,060","57,084","36,500,575"
"110","ASLC","87","88","91","87","91","Rise","4","4.59","3,049","658,389","5,893,612"
"111","GGRM","24,625","24,800","25,600","24,750","25,600","Rise","975","3.95","3,049","16,105","40,645,990"
"112","SINI","1,960","1,960","1,965","1,925","1,945","Fall","15","0.76","3,044","6,258","1,217,790"
"113","FREN","60","60","61","58","60","Unchnaged","0","0.00","3,029","1,812,496","10,786,816"
"114","SIDO","855","860","875","855","865","Rise","10","1.16","3,018","99,612","8,640,001"
"115","BTPS","2,160","2,180","2,210","2,140","2,140","Fall","20","0.92","3,014","123,782","26,871,952"
"116","SRTG","1,970","1,970","2,020","1,965","1,985","Rise","15","0.76","2,984","150,266","29,919,815"
"117","MIKA","3,000","3,000","3,020","2,900","2,940","Fall","60","2.00","2,976","152,647","44,728,481"
"118","NATO","498","498","505","496","500","Rise","2","0.40","2,937","2,135,133","106,637,286"
"119","BRMS","166","167","170","164","168","Rise","2","1.20","2,842","1,247,581","20,851,904"
"120","BNBR","54","54","55","52","53","Fall","1","1.85","2,822","612,218","3,269,786"
"121","TOWR","910","920","935","915","930","Rise","20","2.19","2,822","290,928","27,044,010"
"122","HEAL","1,395","1,400","1,405","1,380","1,395","Unchnaged","0","0.00","2,812","20,048","2,796,792"
"123","DMMX","765","770","875","725","870","Rise","105","13.72","2,749","212,568","17,048,791"
"124","ERAA","520","535","535","510","515","Fall","5","0.96","2,726","460,246","23,788,259"
"125","KING","206","212","226","208","216","Rise","10","4.85","2,672","325,982","7,122,853"
"126","PDPP","230","232","244","230","238","Rise","8","3.47","2,656","322,458","7,681,767"
"127","SCMA","184","186","194","185","193","Rise","9","4.89","2,576","600,450","11,381,625"
"128","INDF","6,375","6,375","6,450","6,350","6,375","Unchnaged","0","0.00","2,573","63,917","40,864,630"
"129","EXCL","1,990","2,010","2,070","1,995","2,050","Rise","60","3.01","2,565","145,267","29,582,513"
"130","TBIG","2,120","2,130","2,210","2,110","2,170","Rise","50","2.35","2,505","157,822","34,185,980"
"131","CRAB","226","224","246","224","232","Rise","6","2.65","2,474","321,496","7,545,170"
"132","MTEL","710","710","720","705","710","Unchnaged","0","0.00","2,469","172,136","12,256,659"
"133","SBAT-W","1","1","2","1","1","Unchnaged","0","0.00","2,457","896,084","91,875"
"134","CTRA","975","975","1,010","975","1,010","Rise","35","3.58","2,415","167,716","16,630,911"
"135","RAJA","900","900","945","880","935","Rise","35","3.88","2,401","166,746","15,417,818"
"136","LPKR","93","94","99","93","96","Rise","3","3.22","2,338","399,851","3,867,443"
"137","SKRN","496","496","505","476","476","Fall","20","4.03","2,267","101,405","4,985,762"
"138","SSIA","358","358","362","352","362","Rise","4","1.11","2,242","210,928","7,528,781"
